Cust. ID,Name,3-year Spend,"$2,024 ","$2,023 ","$2,022 ",Customer,Name.1,Address,City,State/Prov,Postal Code,Country,Sales Rep,Territory,Phone,Fax,E-Mail Address,Latitude,Longitude,Corrected_Address,prodcode
BAL001,ABB WESTVILLE,"$4,854,739.30 ","$429,156.64 ","$1,431,266.54 ","$2,994,316.12 ",12,ABB WESTVILLE,305 BALLMAN RD,WESTVILLE,OK,74965,USA,sslack,TR01,479-648-5791,479-648-5868,USRMMGPAYMENTREQUESTS@US.ABB.COM,35.9972678,-94.5671637,"305 Ballman Rd, Westville, OK 74965, USA",B10
BAL002,ABB-GAINESVILLE,"$3,517,812.68 ","$19,670.00 ","$1,351,809.68 ","$2,146,333.00 ",240,ABB-GAINESVILLE,4349 Avery Drive,Flowery Branch,GA,30542,USA,sslack,TR01,678-947-7229,678-947-7213,USRMMGPAYMENTREQUESTS@US.ABB.COM,34.2012617,-83.896954,"4349 Avery Dr, Flowery Branch, GA 30542, USA",TP
WAR183,WARN AUTOMOTIVE,"$2,374,046.80 ","$678,551.88 ","$1,125,064.92 ","$570,430.00 ",1347,WARN AUTOMOTIVE,13270 SE PHEASANT COURT,MILWAUKIE,OR,97222,USA,Mac Kern,TR10,503-659-8750,,APAY@WARNAUTO.COM,45.4264851,-122.5889443,"13270 SE Pheasant Ct, Milwaukie, OR 97222, USA",TA
CLI001,MOOG INC - MURPHY OPERATIONS,"$1,569,997.63 ","$256,979.55 ","$654,038.20 ","$658,979.88 ",30,MOOG INC - MURPHY OPERATIONS,1995 NC HWY 141,MURPHY,NC,28906-6864,USA,JLundy,TR04,828-837-5115,540-557-6417A/P,Moog_LN_US_invoicecapture@concursolutions.com,35.0951171,-83.9474674,"1995 NC-141, Murphy, NC 28906, USA",B10
MIC173,MICROPUMP CORPORATION,"$1,271,020.81 ","$350,258.47 ","$222,938.43 ","$697,823.91 ",139,MICROPUMP CORPORATION,1402 NE 136 AVE,VANCOUVER,WA,98684-8019,USA,Mac Kern,TR10,360-253-2008,360-253-8294,mpvap@micropump.com,45.6339215,-122.5344586,"1402 NE 136th Ave, Vancouver, WA 98684, USA",B10
ASP001,MOOG ASPEN - RADFORD,"$1,221,966.40 ","$113,695.80 ","$146,365.00 ","$961,905.60 ",8,MOOG ASPEN - RADFORD,1120 WEST ROCK RD,RADFORD,VA,24141-3362,USA,JLundy,TR04,540-552-3011,540-557-6575,ACCOUNTSPAYABLE@MCG.MOOG.COM,37.127668,-80.5129053,"1120 Rock Rd, Christiansburg, VA 24073, USA",TP
MTS001,TEMPOSONICS LLC,"$1,064,166.95 ","$46,470.72 ","$436,256.48 ","$581,439.75 ",151,TEMPOSONICS LLC,3001 SHELDON DRIVE,CARY,NC,27513,USA,Jlundy,TR04,919-677-2364,919-677-2303,Sensors.AP@temposonics.com,35.8148025,-78.8121871,"3001 Sheldon Dr, Cary, NC 27513, USA",TP
HEL001,HELENA LABORATORIES CORP,"$523,000.00 ",$0.00 ,"$418,400.00 ","$104,600.00 ",91,HELENA LABORATORIES CORP,1530 LINDBERGH DR,BEAUMONT,TX,77707,USA,sslack,TR01,409-842-3714,409-842-3094,ACCTPAYABLE@HELENA.COM,30.05829139999999,-94.1558694,"1530 Lindbergh Dr, Beaumont, TX 77707, USA",TP
ELE004,ELECTROCRAFT,"$492,845.30 ","$110,730.40 ","$180,430.49 ","$201,684.41 ",67,ELECTROCRAFT,250 MCCORMICK RD,GALLIPOLIS,OH,45631,USA,Jlundy,TR04,740-441-6200,740-441-6306,ECOHACCOUNTSPAYABLE@ELECTROCRAFT.COM,38.8392546,-82.2282468,"250 McCormick Rd, Gallipolis, OH 45631, USA",B10
KIM001,KIMRAY INC.,"$412,358.19 ",$0.00 ,"$12,455.04 ","$399,903.15 ",113,KIMRAY INC.,52 N W 42ND STREET,OKLAHOMA CITY,OK,73118-8590,USA,sslack,TR01,405-525-6602,405/525-7520,AP@KIMRAY.COM,35.5134638,-97.5138542,"52 NW 42nd St, Oklahoma City, OK 73118, USA",TP
EMO001,ALLIED MOTION TULSA/EMOTEQ,"$406,675.05 ","$67,664.19 ","$102,265.87 ","$236,744.99 ",70,ALLIED MOTION TULSA/EMOTEQ,11607 E 43rd Street North,TULSA,OK,74116,USA,sslack,TR01,918-627-1845,918-660-0207,jennifer.winton@allient.com,36.2175239,-95.8475635,"11607 E 43rd St N, Tulsa, OK 74116, USA",TP
MAG004,MCE,"$350,166.82 ","$64,266.35 ","$108,211.83 ","$177,688.64 ",128,MCE,2830 LOMITA BLVD,TORRANCE,CA,90505,USA,Mac Kern,TR10,310-784-3172,310-784-3195,MCEACCOUNTING@MCEPRODUCTS.COM,33.8094478,-118.3379098,"2830 Lomita Blvd, Torrance, CA 90505, USA",B10
LOR001,PARKER LORD CORPORATION,"$339,922.38 ","$5,525.00 ","$225,527.50 ","$108,869.88 ",123,PARKER LORD CORPORATION,124 Grant St,Cambridge Springs,PA,16403,USA,JLundy,TR04,814-868-0924,814-860-3962,ACCOUNTSPAYABLE@LORD.COM,41.805969,-80.062925,"124 Grant St, Cambridge Springs, PA 16403, USA",TP
