cust_num,cust_id,3-Yr_spend,2024,2023,2022,prodcode,sales_rep,territory,customer,address,city,state,postal,country,phone,fax,email,Latitude,Longitude,Corrected_Address
12,BAL001,"$4,854,739.30 ","$429,156.64 ","$1,431,266.54 ","$2,994,316.12 ",B10,sslack,TR01,ABB WESTVILLE,305 BALLMAN RD,WESTVILLE,OK,74965,USA,479-648-5791,479-648-5868,USRMMGPAYMENTREQUESTS@US.ABB.COM,35.9972678,-94.5671637,"305 Ballman Rd, Westville, OK 74965, USA"
240,BAL002,"$3,517,812.68 ","$19,670.00 ","$1,351,809.68 ","$2,146,333.00 ",TP,sslack,TR01,ABB-GAINESVILLE,4349 Avery Drive,Flowery Branch,GA,30542,USA,678-947-7229,678-947-7213,USRMMGPAYMENTREQUESTS@US.ABB.COM,34.2012617,-83.896954,"4349 Avery Dr, Flowery Branch, GA 30542, USA"
1347,WAR183,"$2,374,046.80 ","$678,551.88 ","$1,125,064.92 ","$570,430.00 ",TA,Mac Kern,TR10,WARN AUTOMOTIVE,13270 SE PHEASANT COURT,MILWAUKIE,OR,97222,USA,503-659-8750,,APAY@WARNAUTO.COM,45.4264851,-122.5889443,"13270 SE Pheasant Ct, Milwaukie, OR 97222, USA"
30,CLI001,"$1,569,997.63 ","$256,979.55 ","$654,038.20 ","$658,979.88 ",B10,JLundy,TR04,MOOG INC - MURPHY OPERATIONS,1995 NC HWY 141,MURPHY,NC,28906-6864,USA,828-837-5115,540-557-6417A/P,Moog_LN_US_invoicecapture@concursolutions.com,35.0951171,-83.9474674,"1995 NC-141, Murphy, NC 28906, USA"
139,MIC173,"$1,271,020.81 ","$350,258.47 ","$222,938.43 ","$697,823.91 ",B10,Mac Kern,TR10,MICROPUMP CORPORATION,1402 NE 136 AVE,VANCOUVER,WA,98684-8019,USA,360-253-2008,360-253-8294,mpvap@micropump.com,45.6339215,-122.5344586,"1402 NE 136th Ave, Vancouver, WA 98684, USA"
8,ASP001,"$1,221,966.40 ","$113,695.80 ","$146,365.00 ","$961,905.60 ",TP,JLundy,TR04,MOOG ASPEN - RADFORD,1120 WEST ROCK RD,RADFORD,VA,24141-3362,USA,540-552-3011,540-557-6575,ACCOUNTSPAYABLE@MCG.MOOG.COM,37.127668,-80.5129053,"1120 Rock Rd, Christiansburg, VA 24073, USA"
151,MTS001,"$1,064,166.95 ","$46,470.72 ","$436,256.48 ","$581,439.75 ",TP,Jlundy,TR04,TEMPOSONICS LLC,3001 SHELDON DRIVE,CARY,NC,27513,USA,919-677-2364,919-677-2303,Sensors.AP@temposonics.com,35.8148025,-78.8121871,"3001 Sheldon Dr, Cary, NC 27513, USA"
91,HEL001,"$523,000.00 ",$0.00 ,"$418,400.00 ","$104,600.00 ",TP,sslack,TR01,HELENA LABORATORIES CORP,1530 LINDBERGH DR,BEAUMONT,TX,77707,USA,409-842-3714,409-842-3094,ACCTPAYABLE@HELENA.COM,30.05829139999999,-94.1558694,"1530 Lindbergh Dr, Beaumont, TX 77707, USA"
67,ELE004,"$492,845.30 ","$110,730.40 ","$180,430.49 ","$201,684.41 ",B10,Jlundy,TR04,ELECTROCRAFT,250 MCCORMICK RD,GALLIPOLIS,OH,45631,USA,740-441-6200,740-441-6306,ECOHACCOUNTSPAYABLE@ELECTROCRAFT.COM,38.8392546,-82.2282468,"250 McCormick Rd, Gallipolis, OH 45631, USA"
113,KIM001,"$412,358.19 ",$0.00 ,"$12,455.04 ","$399,903.15 ",TP,sslack,TR01,KIMRAY INC.,52 N W 42ND STREET,OKLAHOMA CITY,OK,73118-8590,USA,405-525-6602,405/525-7520,AP@KIMRAY.COM,35.5134638,-97.5138542,"52 NW 42nd St, Oklahoma City, OK 73118, USA"
