Company Name,Website,Founded Year,Company HQ Phone,Fax,Ticker,Revenue (in 000s USD),Revenue Range (in USD),Employees,Employee Range,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,ZoomInfo Company Profile URL,LinkedIn Company Profile URL,Facebook Company Profile URL,Twitter Company Profile URL,,,address,latitude,longitude
Dairy Farmers of America Inc,www.dfamilk.com,1998,(816) 801-6455,,,21700000,Over $5 bil.,19000,Employees.10000plus,8742,7319,20;202;2026;73;731;7319;87;874;8742;2021,541820,541613,31;311;3115;31151;311511;311512;54;541;5416;54161;541613;5418;54182;541820,Manufacturing,Food & Beverage,Manufacturing;Business Services,Food & Beverage;Advertising & Marketing,mfg,mfg.food,230350,https://app.zoominfo.com/#/apps/profile/company/39932385,http://www.linkedin.com/company/dairy-farmers-of-america,http://www.facebook.com/84177291169,http://www.twitter.com/dfamilk,,,"1405 N 98th St, Kansas City, Kansas, 66111, United States",-94.876543,39.123456
National Beef Packing Company LLC,www.nationalbeef.com,1992,(800) 449-2333,,,2607081,$1 bil. - $5 bil.,9600,Employees.5000to9999,2013,2011,20;201;2011;2013,311612,311611,31;311;3116;31161;311611;311612,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,812947,https://app.zoominfo.com/#/apps/profile/company/66274198,http://www.linkedin.com/company/national-beef-packing,http://www.facebook.com/1917376818476348,,,,"12200 N Ambassador Dr Ste 500, Kansas City, Missouri, 64163, United States",-94.681234,39.297321
Farmlandfoods,www.farmlandfoods.com,1959,(855) 411-7675,,,495000,$250 mil. - $500 mil.,9000,Employees.5000to9999,2011,201,20;201;2011,311611,31161,31;311;3116;31161;311611,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,11764322,https://app.zoominfo.com/#/apps/profile/company/38850757,http://www.linkedin.com/company/farmland-foods,http://www.facebook.com/farmlandfoods,http://www.twitter.com/farmlandfoods,,,"12200 N Ambassador Dr, Kansas City, Missouri, 64163, United States",-94.681234,39.297321
Seaboard Foods,www.seaboardfoods.com,1990,(913) 261-2600,,,2109316,$1 bil. - $5 bil.,5000,Employees.5000to9999,5147,2013,02;021;0213;20;201;2013;51;514;5147;07;075;0751,311613,311612,11;115;1152;11521;115210;112;1122;11221;112210;31;311;3116;31161;311613;311612,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,4788263,https://app.zoominfo.com/#/apps/profile/company/344182592,http://www.linkedin.com/company/seaboard-foods,http://www.facebook.com/sbfoods,http://www.twitter.com/seaboardfoods,,,"9000 W 67th St Ste 200, Merriam, Kansas, 66202, United States",-94.693456,39.00789
Russell Stover Candies Inc,www.russellstover.com,1923,(816) 842-9240,(816) 855-2356,,714637,$500 mil. - $1 bil.,1694,Employees.1000to4999,5441,5145,20;206;2066;54;544;5441;2064;209;2099;51;514;5145,445292,311352,31;311;3113;31135;311351;311352;44;445;4452;44529;445292,Manufacturing,Food & Beverage,Manufacturing;Retail,Food & Beverage;Grocery Retail,mfg,mfg.food,344606,https://app.zoominfo.com/#/apps/profile/company/104104523,http://www.linkedin.com/company/russell-stover-chocolates,http://www.facebook.com/202833536406943,http://www.twitter.com/rstover_candies,,,"4900 Oak St, Kansas City, Missouri, 64112, United States",-94.581234,39.045678
Bartlett,www.bartlettco.com,1907,(816) 753-6300,(712) 322-1747,,291930,$250 mil. - $500 mil.,692,Employees.500to999,5153,2075,20;204;2041;207;2075;51;515;5153,541921,424510,31;311;3112;31121;311211;31122;311224;42;424;4245;42451;424510;54;541;5419;54192;541921,Manufacturing,Food & Beverage,Manufacturing;Retail,Food & Beverage;Grocery Retail,mfg,mfg.food,4028659,https://app.zoominfo.com/#/apps/profile/company/1124224098,http://www.linkedin.com/company/bartlettco,http://www.facebook.com/bartlettco,http://www.twitter.com/jobsbartlett,,,"4900 Main St Ste 1200, Kansas City, Missouri, 64112, United States",-94.586543,39.045789
McCormick Distilling Co Inc,www.mccormickdistilling.com,1856,(816) 640-2276,,,103136,$100 mil. - $250 mil.,180,Employees.100to249,2085,2084,20;208;2084;2085,312140,312130,31;312;3121;31213;312130;31214;312140,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,9509228,https://app.zoominfo.com/#/apps/profile/company/75663092,http://www.linkedin.com/company/mc-cormick-distilling-co,http://www.facebook.com/american-marking-paving-llc-158987444133236,,,,"1 Mc Cormick Ln, Weston, Missouri, 64098, United States",-94.901234,39.413456
Boulevard Brewing Co,www.boulevard.com,1989,(816) 474-7095,,,101248,$100 mil. - $250 mil.,347,Employees.250to499,2084,2082,20;208;2084;2082,312130,312120,31;312;3121;31213;312130;31212;312120,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,791182,https://app.zoominfo.com/#/apps/profile/company/12603027,http://www.linkedin.com/company/boulevard-brewing-company,http://www.facebook.com/364922774069035,http://www.twitter.com/boulevard_beer,,,"2501 Southwest Blvd, Kansas City, Missouri, 64108, United States",-94.604321,39.075678
Pub Decor,www.pubdecor.com,1995,(816) 761-1102,,,13168,$10 mil. - $25 mil.,62,Employees.50to99,2084,208,20;208;2084,312130,31213,31;312;3121;31213;312130,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,8020279,https://app.zoominfo.com/#/apps/profile/company/233472296,http://www.linkedin.com/company/pub-decor-llc,http://www.facebook.com/pubdecor,,,,"PO Box 277, Stilwell, Kansas, 66085, United States",-94.665432,38.759876
Old World Spices & Seasonings Inc,www.oldworldspices.com,1987,(816) 861-0400,,,20689,$10 mil. - $25 mil.,79,Employees.50to99,2099,209,20;209;2099,424490,311942,31;311;3119;31194;311942;42;424;4244;42449;424490,Retail,Grocery Retail,Retail;Manufacturing,Grocery Retail;Food & Beverage,retail,retail.grocery,7175043,https://app.zoominfo.com/#/apps/profile/company/28754600,http://www.linkedin.com/company/old-world-spices-&-seasonings,http://www.facebook.com/oldworldspicesandseasonings,,,,"101 NE Davis St, Concordia, Missouri, 64020, United States",-93.568765,38.984321
